Gemeente,Naam,Functie,TOOI
Gemeente Aa en Hunze,Juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1680
Gemeente Aalsmeer,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0358
Gemeente Achtkarspelen,Klantencontactcentrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0059
Gemeente Alblasserdam,Woo-contactfunctionaris,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0482
Gemeente Alblasserdam,Contactpersoon Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0482
Gemeente Almere,Klant Contact Centrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0034
Gemeente Alphen aan den Rijn,Woo-team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0484
Gemeente Alphen-Chaam,Cluster DIM,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1723
Gemeente Amersfoort,woo@amersfoort.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0307
Gemeente Amstelveen,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0362
Gemeente Amsterdam,Stedelijk Team Openbaarheid,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0363
Gemeente Apeldoorn,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0200
Gemeente Asten,Klant Contact Centrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0743
Gemeente Baarle-Nassau,Cluster DIM,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0744
Gemeente Baarn,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0308
Gemeente Barneveld,Woo Barneveld,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0203
Gemeente Beek,Team contactpersoon Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0888
Gemeente Beekdaelen,Team AJZ Beekdaelen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1954
Gemeente Beesel,team AJZ,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0889
Gemeente Berg en Dal,Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1945
Gemeente Bergeijk,Woo contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1724
Gemeente Bergen (NH),Woo-team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0373
Gemeente Berkelland,KCC (Klant Contact Centrum),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1859
Gemeente Best,Klant Contact Centrum (KCC),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0753
Gemeente Beuningen,Medewerker Bezwaar en Beroep,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0209
Gemeente Beuningen,juridisch adviseur,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0209
Gemeente Blaricum,Klantcontactcentrum (KCC),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0376
Gemeente Boekel,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0755
Gemeente Borsele,Team Vergunningen en Veiligheid,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0654
Gemeente Bronckhorst,KCC (Klant Contact Centrum),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1876
Gemeente Brummen,WOO Coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0213
Gemeente Brummen,WOO Coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0213
Gemeente Brummen,WOO Coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0213
Gemeente Brummen,Juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0213
Gemeente Brunssum,Team Informatiemanagement,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0899
Gemeente Bunnik,Juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0312
Gemeente Buren,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0214
Gemeente Capelle aan den IJssel,WOO contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0502
Gemeente Castricum,Woo-team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0383
Gemeente Coevorden,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0109
Gemeente Culemborg,Klantcontactcentrum (KCC),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0216
Gemeente Dantumadiel,Klantcontactcentrum (algemeen),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1891
Gemeente De Bilt,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0310
Gemeente De Fryske Marren,Klantencontact centrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1940
Gemeente De Ronde Venen,Juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0736
Gemeente Den Haag,Woo-contact Rekenkamer,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0518
Gemeente Den Haag,Woo-contact gemeente Den Haag,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0518
Gemeente Den Haag,Woo-contact Rekenkamer,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0518
Gemeente Den Helder,De algemeen jurist in het team Bestuur en Organisatie,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0400
Gemeente Deurne,Team juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0762
Gemeente Diemen,Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0384
Gemeente Dinkelland,Team Concerncontrol,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1774
Gemeente Doesburg,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0221
Gemeente Doetinchem,Team publiekszaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0222
Gemeente Drimmelen,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1719
Gemeente Dronten,Klant Contact Centrum (KCC),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0303
Gemeente Echt-Susteren,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1711
Gemeente Ede,Afdeling B&C,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0228
Gemeente Eemnes,Klantcontactcentrum (KCC),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0317
Gemeente Eindhoven,Woo-bureau,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0772
Gemeente Epe,Algemene toegang,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0232
Gemeente Ermelo,Publiekscentrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0233
Gemeente Gemert-Bakel,WOO-contactfunctionarissen 0492-378500,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1652
Gemeente Gilze en Rijen,Cluster DIM,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0784
Gemeente Goeree-Overflakkee,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1924
Gemeente Goirle,Coördinator KCC,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0785
Gemeente Gooise Meren,Informatiespecialisten,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1942
Gemeente Gorinchem,Team Dienstverlening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0512
Gemeente Gouda,"afdeling Dienstverlening, team Omgevingsloket",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0513
Gemeente Groningen,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0014
Gemeente Gulpen-Wittem,Contactpersoon Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1729
Gemeente Haaksbergen,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0158
Gemeente Haarlem,Afdeling Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0392
Gemeente Halderberge,Contactpersoon open overheid,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1655
Gemeente Harderwijk,Klantcontactcentrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0243
Gemeente Harlingen,Team Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0072
Gemeente Heerenveen,WOO-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0074
Gemeente Heerlen,Team Jurdische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0917
Gemeente Heerlen,afdeling Jurap,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0917
Gemeente Heiloo,Woo-team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0399
Gemeente Helmond,Woo juristen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0794
Gemeente Hendrik-Ido-Ambacht,Afdeling Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0531
Gemeente Hengelo,Woo Contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0164
Gemeente Heumen,WOO-medewerker,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0252
Gemeente Hillegom,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0534
Gemeente Hilvarenbeek,Team Burgerzaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0798
Gemeente Hilversum,Rekenkamer gemeente Hilversum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0402
Gemeente Hilversum,Griffie gemeente Hilversum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0402
Gemeente Hilversum,"Team Juridische zaken, Inkoop en Subsidies",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0402
Gemeente Hoeksche Waard,Woo-contactpersoon van gemeente Hoeksche Waard,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1963
Gemeente Hof van Twente,Serviceteam,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1735
Gemeente Hof van Twente,Serviceteam,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1735
Gemeente Hoorn,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0405
Gemeente Horst aan de Maas,Team Klant Contact Centrum (KCC),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1507
Gemeente Houten,Afdeling Advies & Ondersteuning,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0321
Gemeente Houten,Contactfunctionaris Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0321
Gemeente IJsselstein,WOO-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0353
Gemeente Kampen,Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0166
Gemeente Kampen,Klant Contact Centrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0166
Gemeente Kapelle,Juridisch Adviseur,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0678
Gemeente Kapelle,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0678
Gemeente Kerkrade,Cluster rechtsbelangen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0928
Gemeente Koggenland,Woo-team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1598
Gemeente Koggenland,woo@koggenland.nl,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1598
Gemeente Krimpen aan den IJssel,Team Informatie en Dienstverlening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0542
